verse_number,transliteration
36,"huwallazi khalaqa lakum ma fil-ardi jami'an summastawa ilas-sama'i fa sawwahunna sab'a samawat, wa huwa bikulli syai'in 'alim"
37,"wa iz qala rabbuka lil-mala'ikati inni ja'ilun fil-ardi khalifah, qalu a taj'alu fiha may yufsidu fiha wa yasfikud-dima', wa nahnu nusabbihu bihamdika wa nuqaddisu lak, qala inni a'lamu ma la ta'lamun"
38,wa 'allama adamal-asma'a kullaha summa 'aradahum 'alal-mala'ikati fa qala ambi'uni bi'asma'i ha'ula'i ing kuntum sadiqin
39,"qalu sub-hanaka la 'ilma lana illa ma 'allamtana, innaka antal-'alimul-hakim"
40,"qala ya adamu ambi'hum bi'asma'ihim, fa lamma amba'ahum bi'asma'ihim qala a lam aqul lakum inni a'lamu gaibas-samawati wal-ardi wa a'lamu ma tubduna wa ma kuntum taktumun"
41,"wa iz qulna lil-mala'ikatisjudu li'adama fa sajadu illa iblis, aba wastakbara wa kana minal-kafirin"
42,wa qulna ya adamuskun anta wa zaujukal-jannata wa kula min-ha ragadan haisu syi'tuma wa la taqraba hazihisy-syajarata fa takuna minaz-zalimin
43,"fa azallahumasy-syaitanu 'an-ha fa akhrajahuma mimma kana fihi wa qulnahbitu ba'dukum liba'din 'aduww, wa lakum fil-ardi mustaqarruw wa mata'un ila hin"
44,"fa talaqqa adamu mir rabbihi kalimatin fa taba 'alaih, innahu huwat-tawwabur-rahim"
45,"qulnahbitu min-ha jami'a, fa imma ya'tiyannakum minni hudan fa man tabi'a hudaya fa la khaufun 'alaihim wa la hum yahzanun"
46,"wallazina kafaru wa kazzabu bi'ayatina ula'ika as-habun-nar, hum fiha khalidun"
47,"ya bani isra'ilazkuru ni'matiyallati an'amtu 'alaikum wa aufu bi'ahdi ufi bi'ahdikum, wa iyyaya far-habun"
48,wa aminu bima anzaltu musaddiqal lima ma'akum wa la takunu awwala kafirim bihi wa la tasytaru bi'ayati samanang qalilaw wa iyyaya fattaqun
49,wa la talbisul-haqqa bil-batili wa taktumul-haqqa wa antum ta'lamun
50,wa aqimus-salata wa atuz-zakata warka'u ma'ar-raki'in
51,"a ta'murunan-nasa bil-birri wa tansauna anfusakum wa antum tatlunal-kitab, a fa la ta'qilun"
52,"wasta'inu bis-sabri was-salah, wa innaha lakabiratun illa 'alal-khasyi'in"
53,allazina yazunnuna annahum mulaqu rabbihim wa annahum ilaihi raji'un
54,ya bani isra'ilazkuru ni'matiyallati an'amtu 'alaikum wa anni faddaltukum 'alal-'alamin
55,wattaqu yaumal la tajzi nafsun 'an nafsin syai'aw wa la yuqbalu min-ha syafa'atuw wa la yu'khazu min-ha 'adluw wa la hum yunsarun
56,"wa iz najjainakum min ali fir'auna yasumunakum su'al-'azabi yuzabbihuna abna'akum wa yastahyuna nisa'akum, wa fi zalikum bala'um mir rabbikum 'azim"
57,wa iz faraqna bikumul-bahra fa anjainakum wa agraqna ala fir'auna wa antum tanzurun
58,wa iz wa'adna musa arba'ina lailatan summattakhaztumul-'ijla mim ba'dihi wa antum zalimun
59,summa 'afauna 'angkum mim ba'di zalika la'allakum tasykurun
60,wa iz ataina musal-kitaba wal-furqana la'allakum tahtadun
61,"wa iz qala musa liqaumihi ya qaumi innakum zalamtum anfusakum bittikhazikumul-'ijla fa tubu ila bari'ikum faqtulu anfusakum, zalikum khairul lakum 'inda bari'ikum, fa taba 'alaikum, innahu huwat-tawwabur-rahim"
62,wa iz qultum ya musa lan nu'mina laka hatta narallaha jahratan fa akhazatkumus-sa'iqatu wa antum tanzurun
63,summa ba'asnakum mim ba'di mautikum la'allakum tasykurun
64,"wa zallalna 'alaikumul-gamama wa anzalna 'alaikumul-manna was-salwa, kulu min tayyibati ma razaqnakum, wa ma zalamuna wa laking kanu anfusahum yazlimun"
65,"wa iz qulnadkhulu hazihil-qaryata fa kulu min-ha haisu syi'tum ragadaw wadkhulul-baba sujjadaw wa qulu hittatun nagfir lakum khatayakum, wa sanazidul-muhsinin"
66,fa baddalallazina zalamu qaulan gairallazi qila lahum fa anzalna 'alallazina zalamu rijzam minas-sama'i bima kanu yafsuqun
67,"wa izistasqa musa liqaumihi fa qulnadrib bi'asakal-hajar, fanfajarat min-husnata 'asyrata 'aina, qad 'alima kullu unasim masyrabahum, kulu wasyrabu mir rizqillahi wa la ta'sau fil-ardi mufsidin"
68,"wa iz qultum ya musa lan nasbira 'ala ta'amiw wahidin fad'u lana rabbaka yukhrij lana mimma tumbitul-ardu mim baqliha wa qissa'iha wa fumiha wa 'adasiha wa basaliha, qala a tastabdilunallazi huwa adna billazi huwa khair, ihbitu misran fa inna lakum ma sa'altum, wa duribat 'alaihimuz-zillatu wal-maskanatu wa ba'u bigadabim minallah, zalika bi'annahum kanu yakfuruna bi'ayatillahi wa yaqtulunan-nabiyyina bigairil-haqq, zalika bima 'asaw wa kanu ya'tadun"
69,"innallazina amanu wallazina hadu wan-nasara was-sabi'ina man amana billahi wal-yaumil-akhiri wa 'amila salihan fa lahum ajruhum 'inda rabbihim, wa la khaufun 'alaihim wa la hum yahzanun"
70,"wa iz akhazna misaqakum wa rafa'na fauqakumut-tur, khuzu ma atainakum biquwwatiw wazkuru ma fihi la'allakum tattaqun"
71,summa tawallaitum mim ba'di zalika falau la fadlullahi 'alaikum wa rahmatuhu lakuntum minal-khasirin
72,wa laqad 'alimtumullazina'tadau mingkum fis-sabti fa qulna lahum kunu qiradatan khasi'in
73,fa ja'alnaha nakalal lima baina yadaiha wa ma khalfaha wa mau'izatal lil-muttaqin
74,"wa iz qala musa liqaumihi innallaha ya'murukum an tazbahu baqarah, qalu a tattakhizuna huzuwa, qala a'uzu billahi an akuna minal-jahilin"
75,"qalud'u lana rabbaka yubayyil lana ma hiy, qala innahu yaqulu innaha baqaratul la fariduw wa la bikr, 'awanum baina zalik, faf'alu ma tu'marun"
76,"qalud'u lana rabbaka yubayyil lana ma launuha, qala innahu yaqulu innaha baqaratun safra'u faqi'ul launuha tasurrun-nazirin"
77,"qalud'u lana rabbaka yubayyil lana ma hiya innal-baqara tasyabaha 'alaina, wa inna in sya'allahu lamuhtadun"
78,"qala innahu yaqulu innaha baqaratul la zalulun tusirul-arda wa la tasqil-hars, musallamatul la syiyata fiha, qalul-ana ji'ta bil-haqqi fa zabahuha wa ma kadu yaf'alun"
79,"wa iz qataltum nafsan faddara'tum fiha, wallahu mukhrijum ma kuntum taktumun"
80,"fa qulnadribuhu biba'diha, kazalika yuhyillahul-mauta wa yurikum ayatihi la'allakum ta'qilun"
81,"summa qasat qulubukum mim ba'di zalika fa hiya kal-hijarati au asyaddu qaswah, wa inna minal-hijarati lama yatafajjaru min-hul-an-har, wa inna min-ha lama yasysyaqqaqu fa yakhruju min-hul-ma', wa inna min-ha lama yahbitu min khasy-yatillah, wa mallahu bigafilin 'amma ta'malun"
82,a fa tatma'una ay yu'minu lakum wa qad kana fariqum min-hum yasma'una kalamallahi summa yuharrifunahu mim ba'di ma 'aqaluhu wa hum ya'lamun
83,"wa iza laqullazina amanu qalu amanna, wa iza khala ba'duhum ila ba'ding qalu a tuhaddisunahum bima fatahallahu 'alaikum liyuhajjukum bihi 'inda rabbikum, a fa la ta'qilun"
84,a wa la ya'lamuna annallaha ya'lamu ma yusirruna wa ma yu'linun
85,wa min-hum ummiyyuna la ya'lamunal-kitaba illa amaniyya wa in hum illa yazunnun
86,"fa wailul lillazina yaktubunal-kitaba bi'aidihim summa yaquluna haza min 'indillahi liyasytaru bihi samanang qalila, fa wailul lahum mimma katabat aidihim wa wailul lahum mimma yaksibun"
87,"wa qalu lan tamassanan-naru illa ayyamam ma'dudah, qul attakhaztum 'indallahi 'ahdan fa lay yukhlifallahu 'ahdahu am taquluna 'alallahi ma la ta'lamun"
88,"bala mang kasaba sayyi'ataw wa 'ahatat bihi khati'atuhu fa ula'ika as-habun-nar, hum fiha khalidun"
89,"wallazina amanu wa 'amilus-salihati ula'ika as-habul-jannah, hum fiha khalidun"
90,"wa iz akhazna misaqa bani isra'ila la ta'buduna illallaha wa bil-walidaini ihsanaw wa zil-qurba wal-yatama wal-masakini wa qulu lin-nasi husnaw wa aqimus-salata wa atuz-zakah, summa tawallaitum illa qalilam mingkum wa antum mu'ridun"
91,wa iz akhazna misaqakum la tasfikuna dima'akum wa la tukhrijuna anfusakum min diyarikum summa aqrartum wa antum tasy-hadun
92,"summa antum ha'ula'i taqtuluna anfusakum wa tukhrijuna fariqam mingkum min diyarihim tazaharuna 'alaihim bil-ismi wal-'udwan, wa iy ya'tukum usara tufaduhum wa huwa muharramun 'alaikum ikhrajuhum, a fa tu'minuna biba'dil-kitabi wa takfuruna biba'd, fa ma jaza'u may yaf'alu zalika mingkum illa khizyun fil-hayatid-dun-ya, wa yaumal-qiyamati yuradduna ila asyaddil-'azab, wa mallahu bigafilin 'amma ta'malun"
93,ula'ikallazinasytarawul-hayatad-dun-ya bil-akhirati fa la yukhaffafu 'an-humul-'azabu wa la hum yunsarun
94,"wa laqad ataina musal-kitaba wa qaffaina mim ba'dihi bir-rusuli wa ataina 'isabna maryamal-bayyinati wa ayyadnahu biruhil-qudus, a fa kullama ja'akum rasulum bima la tahwa anfusukumustakbartum, fa fariqang kazzabtum wa fariqan taqtulun"
95,"wa qalu qulubuna gulf, bal la'anahumullahu bikufrihim fa qalilam ma yu'minun"
96,"wa lamma ja'ahum kitabum min 'indillahi musaddiqul lima ma'ahum wa kanu ming qablu yastaftihuna 'alallazina kafaru, fa lamma ja'ahum ma 'arafu kafaru bihi fa la'natullahi 'alal-kafirin"
97,"bi'samasytarau bihi anfusahum ay yakfuru bima anzalallahu bagyan ay yunazzilallahu min fadlihi 'ala may yasya'u min 'ibadih, fa ba'u bigadabin 'ala gadab, wa lil-kafirina 'azabum muhin"
98,"wa iza qila lahum aminu bima anzalallahu qalu nu'minu bima unzila 'alaina wa yakfuruna bima wara'ahu wa huwal-haqqu musaddiqal lima ma'ahum, qul fa lima taqtuluna ambiya'allahi ming qablu ing kuntum mu'minin"
99,wa laqad ja'akum musa bil-bayyinati summattakhaztumul-'ijla mim ba'dihi wa antum zalimun
100,"wa iz akhazna misaqakum wa rafa'na fauqakumut-tur, khuzu ma atainakum biquwwatiw wasma'u, qalu sami'na wa 'asaina wa usyribu fi qulubihimul-'ijla bikufrihim, qul bi'sama ya'murukum bihi imanukum ing kuntum mu'minin"
101,qul ing kanat lakumud-darul-akhiratu 'indallahi khalisatam min dunin-nasi fa tamannawul-mauta ing kuntum sadiqin
102,"wa lay yatamannauhu abadam bima qaddamat aidihim, wallahu 'alimum biz-zalimin"
103,"wa latajidannahum ahrasan-nasi 'ala hayah, wa minallazina asyraku yawaddu ahaduhum lau yu'ammaru alfa sanah, wa ma huwa bimuzahzihihi minal-'azabi ay yu'ammar, wallahu basirum bima ya'malun"
104,qul mang kana 'aduwwal lijibrila fa innahu nazzalahu 'ala qalbika bi'iznillahi musaddiqal lima baina yadaihi wa hudaw wa busyra lil-mu'minin
105,mang kana 'aduwwal lillahi wa mala'ikatihi wa rusulihi wa jibrila wa mikala fa innallaha 'aduwwul lil-kafirin
106,"wa laqad anzalna ilaika ayatim bayyinat, wa ma yakfuru biha illal-fasiqun"
107,"a wa kullama 'ahadu 'ahdan nabazahu fariqum min-hum, bal aksaruhum la yu'minun"
108,wa lamma ja'ahum rasulum min 'indillahi musaddiqul lima ma'ahum nabaza fariqum minallazina utul-kitaba kitaballahi wara'a zuhurihim ka'annahum la ya'lamun
109,"wattaba'u ma tatlusy-syayatinu 'ala mulki sulaiman, wa ma kafara sulaimanu wa lakinnasy-syayatina kafaru yu'allimunan-nasas-sihra wa ma unzila 'alal-malakaini bibabila haruta wa marut, wa ma yu'allimani min ahadin hatta yaqula innama nahnu fitnatun fa la takfur, fa yata'allamuna min-huma ma yufarriquna bihi bainal-mar'i wa zaujih, wa ma hum bidarrina bihi min ahadin illa bi'iznillah, wa yata'allamuna ma yadurruhum wa la yanfa'uhum, wa laqad 'alimu lamanisytarahu ma lahu fil-akhirati min khalaq, wa labi'sa ma syarau bihi anfusahum, lau kanu ya'lamun"
110,"walau annahum amanu wattaqau lamasubatum min 'indillahi khair, lau kanu ya'lamun"
111,ya ayyuhallazina amanu la taqulu ra'ina wa qulunzurna wasma'u wa lil-kafirina 'azabun alim
112,"ma yawaddullazina kafaru min ahlil-kitabi wa lal-musyrikina ay yunazzala 'alaikum min khairim mir rabbikum, wallahu yakhtassu birahmatihi may yasya', wallahu zul-fadlil-'azim"
113,"ma nansakh min ayatin au nunsiha na'ti bikhairim min-ha au misliha, a lam ta'lam annallaha 'ala kulli syai'ing qadir"
114,"a lam ta'lam annallaha lahu mulkus-samawati wal-ard, wa ma lakum min dunillahi miw waliyyiw wa la nasir"
115,"am turiduna an tas'alu rasulakum kama su'ila musa ming qabl, wa may yatabaddalil-kufra bil-imani fa qad dalla sawa'as-sabil"
116,"wadda kasirum min ahlil-kitabi lau yaruddunakum mim ba'di imanikum kuffara, hasadam min 'indi anfusihim mim ba'di ma tabayyana lahumul-haqq, fa'fu wasfahu hatta ya'tiyallahu bi'amrih, innallaha 'ala kulli syai'ing qadir"
117,"wa aqimus-salata wa atuz-zakah, wa ma tuqaddimu li'anfusikum min khairin tajiduhu 'indallah, innallaha bima ta'maluna basir"
118,"wa qalu lay yadkhulal-jannata illa mang kana hudan au nasara, tilka amaniyyuhum, qul hatu bur-hanakum ing kuntum sadiqin"
119,bala man aslama waj-hahu lillahi wa huwa muhsinun fa lahu ajruhu 'inda rabbihi wa la khaufun 'alaihim wa la hum yahzanun
120,"wa qalatil-yahudu laisatin-nasara 'ala syai'iw wa qalatin-nasara laisatil-yahudu 'ala syai'iw wa hum yatlunal-kitab, kazalika qalallazina la ya'lamuna misla qaulihim, fallahu yahkumu bainahum yaumal-qiyamati fima kanu fihi yakhtalifun"
121,"wa man azlamu mim mam mana'a masajidallahi ay yuzkara fihasmuhu wa sa'a fi kharabiha, ula'ika ma kana lahum ay yadkhuluha illa kha'ifin, lahum fid-dun-ya khizyuw wa lahum fil-akhirati 'azabun 'azim"
122,"wa lillahil-masyriqu wal-magribu fa ainama tuwallu fa samma waj-hullah, innallaha wasi'un 'alim"
123,"wa qaluttakhazallahu waladan sub-hanah, bal lahu ma fis-samawati wal-ard, kullul lahu qanitun"
124,"badi'us-samawati wal-ard, wa iza qada amran fa innama yaqulu lahu kun fa yakun"
125,"wa qalallazina la ya'lamuna lau la yukallimunallahu au ta'tina ayah, kazalika qalallazina ming qablihim misla qaulihim, tasyabahat qulubuhum, qad bayyannal-ayati liqaumiy yuqinun"
126,inna arsalnaka bil-haqqi basyiraw wa naziraw wa la tus'alu 'an as-habil-jahim
127,"wa lan tarda 'angkal-yahudu wa lan-nasara hatta tattabi'a millatahum, qul inna hudallahi huwal-huda, wa la'inittaba'ta ahwa'ahum ba'dallazi ja'aka minal-'ilmi ma laka minallahi miw waliyyiw wa la nasir"
128,"allazina atainahumul-kitaba yatlunahu haqqa tilawatih, ula'ika yu'minuna bih, wa may yakfur bihi fa ula'ika humul-khasirun"
129,ya bani isra'ilazkuru ni'matiyallati an'amtu 'alaikum wa anni faddaltukum 'alal-'alamin
130,wattaqu yaumal la tajzi nafsun 'an nafsin syai'aw wa la yuqbalu min-ha 'adluw wa la tanfa'uha syafa'atuw wa la hum yunsarun
131,"wa izibtala ibrahima rabbuhu bikalimatin fa atammahunn, qala inni ja'iluka lin-nasi imama, qala wa min zurriyyati, qala la yanalu 'ahdiz-zalimin"
132,"wa iz ja'alnal-baita masabatal lin-nasi wa amna, wattakhizu mim maqami ibrahima musalla, wa 'ahidna ila ibrahima wa isma'ila an tahhira baitiya lit-ta'ifina wal-'akifina war-rukka'is-sujud"
133,"wa iz qala ibrahimu rabbij'al haza baladan aminaw warzuq ahlahu minas-samarati man amana min-hum billahi wal-yaumil-akhir, qala wa mang kafara fa umatti'uhu qalilan summa adtarruhu ila 'azabin-nar, wa bi'sal-masir"
134,"wa iz yarfa'u ibrahimul-qawa'ida minal-baiti wa isma'il, rabbana taqabbal minna, innaka antas-sami'ul-'alim"
135,"rabbana waj'alna muslimaini laka wa min zurriyyatina ummatam muslimatal laka wa arina manasikana wa tub 'alaina, innaka antat-tawwabur-rahim"
136,"rabbana wab'as fihim rasulam min-hum yatlu 'alaihim ayatika wa yu'allimuhumul-kitaba wal-hikmata wa yuzakkihim, innaka antal-'azizul-hakim"
137,"wa may yargabu 'am millati ibrahima illa man safiha nafsah, wa laqadistafainahu fid-dun-ya, wa innahu fil-akhirati laminas-salihin"
138,iz qala lahu rabbuhu aslim qala aslamtu lirabbil-'alamin
139,"wa wassa biha ibrahimu banihi wa ya'qub, ya baniyya innallahastafa lakumud-dina fa la tamutunna illa wa antum muslimun"
140,"am kuntum syuhada'a iz hadara ya'qubal-mautu iz qala libanihi ma ta'buduna mim ba'di, qalu na'budu ilahaka wa ilaha aba'ika ibrahima wa isma'ila wa is-haqa ilahaw wahida, wa nahnu lahu muslimun"
141,"tilka ummatung qad khalat, laha ma kasabat wa lakum ma kasabtum, wa la tus'aluna 'amma kanu ya'malun"
142,"wa qalu kunu hudan au nasara tahtadu, qul bal millata ibrahima hanifa, wa ma kana minal-musyrikin"
143,"qulu amanna billahi wa ma unzila ilaina wa ma unzila ila ibrahima wa isma'ila wa is-haqa wa ya'quba wal-asbati wa ma utiya musa wa 'isa wa ma utiyan-nabiyyuna mir rabbihim, la nufarriqu baina ahadim min-hum wa nahnu lahu muslimun"
144,"fa in amanu bimisli ma amantum bihi fa qadihtadau, wa in tawallau fa innama hum fi syiqaq, fa sayakfikahumullah, wa huwas-sami'ul-'alim"
145,"sibgatallah, wa man ahsanu minallahi sibgataw wa nahnu lahu 'abidun"
146,"qul a tuhajjunana fillahi wa huwa rabbuna wa rabbukum, wa lana a'maluna wa lakum a'malukum, wa nahnu lahu mukhlisun"
147,"am taquluna inna ibrahima wa isma'ila wa is-haqa wa ya'quba wal-asbata kanu hudan au nasara, qul a antum a'lamu amillah, wa man azlamu mim mang katama syahadatan 'indahu minallah, wa mallahu bigafilin 'amma ta'malun"
148,"tilka ummatung qad khalat, laha ma kasabat wa lakum ma kasabtum, wa la tus'aluna 'amma kanu ya'malun"
149,"sayaqulus-sufaha'u minan-nasi ma wallahum 'ang qiblatihimullati kanu 'alaiha, qul lillahil-masyriqu wal-magrib, yahdi may yasya'u ila siratim mustaqim"
150,"wa kazalika ja'alnakum ummataw wasatal litakunu syuhada'a 'alan-nasi wa yakunar-rasulu 'alaikum syahida, wa ma ja'alnal-qiblatallati kunta 'alaiha illa lina'lama may yattabi'ur-rasula mim may yangqalibu 'ala 'aqibaih, wa ing kanat lakabiratan illa 'alallazina hadallah, wa ma kanallahu liyudi'a imanakum, innallaha bin-nasi lara'ufur rahim"
151,"qad nara taqalluba waj-hika fis-sama', fa lanuwalliyannaka qiblatan tardaha fa walli waj-haka syatral-masjidil-haram, wa haisu ma kuntum fa wallu wujuhakum syatrah, wa innallazina utul-kitaba laya'lamuna annahul-haqqu mir rabbihim, wa mallahu bigafilin 'amma ya'malun"
152,"wa la'in ataitallazina utul-kitaba bikulli ayatim ma tabi'u qiblatak, wa ma anta bitabi'ing qiblatahum, wa ma ba'duhum bitabi'ing qiblata ba'd, wa la'inittaba'ta ahwa'ahum mim ba'di ma ja'aka minal-'ilmi innaka izal laminaz-zalimin"
153,"allazina atainahumul-kitaba ya'rifunahu kama ya'rifuna abna'ahum, wa inna fariqam min-hum layaktumunal-haqqa wa hum ya'lamun"
154,al-haqqu mir rabbika fa la takunanna minal-mumtarin
155,"wa likulliw wij-hatun huwa muwalliha fastabiqul-khairat, aina ma takunu ya'ti bikumullahu jami'a, innallaha 'ala kulli syai'ing qadir"
156,"wa min haisu kharajta fa walli waj-haka syatral-masjidil-haram, wa innahu lal-haqqu mir rabbik, wa mallahu bigafilin 'amma ta'malun"
157,"wa min haisu kharajta fa walli waj-haka syatral-masjidil-haram, wa haisu ma kuntum fa wallu wujuhakum syatrahu li'alla yakuna lin-nasi 'alaikum hujjatun illallazina zalamu min-hum fa la takhsyauhum wakhsyauni wa li'utimma ni'mati 'alaikum wa la'allakum tahtadun"
158,kama arsalna fikum rasulam mingkum yatlu 'alaikum ayatina wa yuzakkikum wa yu'allimukumul-kitaba wal-hikmata wa yu'allimukum ma lam takunu ta'lamun
159,fazkuruni azkurkum wasykuru li wa la takfurun
160,"ya ayyuhallazina amanusta'inu bis-sabri was-salah, innallaha ma'as-sabirin"
161,"wa la taqulu limay yuqtalu fi sabilillahi amwat, bal ahya'uw wa lakil la tasy'urun"
162,"wa lanabluwannakum bisyai'im minal-khaufi wal-ju'i wa naqsim minal-amwali wal-anfusi was-samarat, wa basysyiris-sabirin"
163,"allazina iza asabat-hum musibah, qalu inna lillahi wa inna ilaihi raji'un"
164,"ula'ika 'alaihim salawatum mir rabbihim wa rahmah, wa ula'ika humul-muhtadun"
165,"innas-safa wal-marwata min sya'a'irillah, fa man hajjal-baita awi'tamara fa la junaha 'alaihi ay yattawwafa bihima, wa man tatawwa'a khairan fa innallaha syakirun 'alim"
166,innallazina yaktumuna ma anzalna minal-bayyinati wal-huda mim ba'di ma bayyannahu lin-nasi fil-kitabi ula'ika yal'anuhumullahu wa yal'anuhumul-la'inun
167,"illallazina tabu wa aslahu wa bayyanu fa ula'ika atubu 'alaihim, wa anat-tawwabur-rahim"
168,innallazina kafaru wa matu wa hum kuffarun ula'ika 'alaihim la'natullahi wal-mala'ikati wan-nasi ajma'in
169,"khalidina fiha, la yukhaffafu 'an-humul-'azabu wa la hum yunzarun"
170,"wa ilahukum ilahuw wahid, la ilaha illa huwar-rahmanur-rahim"
171,inna fi khalqis-samawati wal-ardi wakhtilafil-laili wan-nahari wal-fulkillati tajri fil-bahri bima yanfa'un-nasa wa ma anzalallahu minas-sama'i mim ma'in fa ahya bihil-arda ba'da mautiha wa bassa fiha ming kulli dabbatiw wa tasrifir-riyahi was-sahabil-musakhkhari bainas-sama'i wal-ardi la'ayatil liqaumiy ya'qilun
172,"wa minan-nasi may yattakhizu min dunillahi andaday yuhibbunahum kahubbillah, wallazina amanu asyaddu hubbal lillahi walau yarallazina zalamu iz yaraunal-'azaba annal-quwwata lillahi jami'aw wa annallaha syadidul-'azab"
173,iz tabarra'allazinattubi'u minallazinattaba'u wa ra'awul-'azaba wa taqatta'at bihimul-asbab
174,"wa qalallazinattaba'u lau anna lana karratan fa natabarra'a min-hum, kama tabarra'u minna, kazalika yurihimullahu a'malahum hasaratin 'alaihim, wa ma hum bikharijina minan-nar"
175,"ya ayyuhan-nasu kulu mimma fil-ardi halalan tayyibaw wa la tattabi'u khutuwatisy-syaitan, innahu lakum 'aduwwum mubin"
176,innama ya'murukum bis-su'i wal-fahsya'i wa an taqulu 'alallahi ma la ta'lamun
177,"wa iza qila lahumuttabi'u ma anzalallahu qalu bal nattabi'u ma alfaina 'alaihi aba'ana, a walau kana aba'uhum la ya'qiluna syai'aw wa la yahtadun"
178,"wa masalullazina kafaru kamasalillazi yan'iqu bima la yasma'u illa du'a'aw wa nida'a, summum bukmun 'umyun fa hum la ya'qilun"
179,ya ayyuhallazina amanu kulu min tayyibati ma razaqnakum wasykuru lillahi ing kuntum iyyahu ta'budun
180,"innama harrama 'alaikumul-maitata wad-dama wa lahmal-khinziri wa ma uhilla bihi ligairillah, fa manidturra gaira bagiw wa la 'adin fa la isma 'alaih, innallaha gafurur rahim"
181,"innallazina yaktumuna ma anzalallahu minal-kitabi wa yasytaruna bihi samanang qalilan ula'ika ma ya'kuluna fi butunihim illan-nara wa la yukallimuhumullahu yaumal-qiyamati wa la yuzakkihim, wa lahum 'azabun alim"
182,"ula'ikallazinasytarawud-dalalata bil-huda wal-'azaba bil-magfirah, fa ma asbarahum 'alan-nar"
183,"zalika bi'annallaha nazzalal-kitaba bil-haqq, wa innallazinakhtalafu fil-kitabi lafi syiqaqim ba'id"
